,0
153,"[0.16356742000376087, 0.06753870382572347, 0.42721797136504513], [0.614165714788329 + 0.7515986324304633*i + -0.10338957494844844*j + 0.21727992613027475*k]"
154,"[0.16699869378315468, 0.0662702136622836, 0.42493012004966746], [0.61349080808815 + 0.7529892276094644*i + -0.10183123453433154*j + 0.21509684137305485*k]"
155,"[0.16868287548683045, 0.06462863407127692, 0.42146834439343084], [0.6130029755727233 + 0.7542837207187584*i + -0.1008100965428704*j + 0.21241644247249455*k]"
156,"[0.17032377245824787, 0.06288206125907024, 0.4181196124955384], [0.6125890626117623 + 0.7555396406498938*i + -0.09962460764775995*j + 0.209688886987608*k]"
157,"[0.17275775325648124, 0.06130444810262048, 0.4149769303617442], [0.6120064302334202 + 0.756904683325155*i + -0.09828010675974558*j + 0.20708561110971874*k]"
158,"[0.17517881721544112, 0.059829404160727705, 0.41179111022844955], [0.6113633906212061 + 0.7583012603616941*i + -0.09704655160871027*j + 0.2044406269870704*k]"
159,"[0.17674831266718802, 0.05821523238981603, 0.4084020529479764], [0.6108620446778916 + 0.7596014303403902*i + -0.09602084841695165*j + 0.20157684903298753*k]"
160,"[0.17841626630550192, 0.056504345322689636, 0.4049762050661051], [0.6103519816246159 + 0.7608541160056127*i + -0.09496254098255476*j + 0.19888083993778544*k]"
161,"[0.18003883237054114, 0.05486045079652624, 0.4014603629183523], [0.609777436341903 + 0.7621312168043264*i + -0.09403030877996756*j + 0.19617794863693883*k]"
162,"[0.18236581760525772, 0.05346883995240656, 0.39870922243409024], [0.6092320855083996 + 0.7634445320302181*i + -0.0927721781211446*j + 0.19334434428476577*k]"
163,"[0.18459285599892208, 0.05204088026052967, 0.3958716619705519], [0.608677357961755 + 0.7647501767532153*i + -0.09153795186499517*j + 0.19049893550617356*k]"
164,"[0.18665887131870837, 0.05061387205756504, 0.39302637996996603], [0.6081369328569264 + 0.76603498246851*i + -0.09036122761526541*j + 0.18760257214042206*k]"
165,"[0.188610942771267, 0.049171675090172964, 0.39015879226239875], [0.6076061794502914 + 0.7672984041654067*i + -0.08922150321729133*j + 0.18468192391971408*k]"
166,"[0.19083222510114178, 0.047727642602005974, 0.38729105936297153], [0.6070276401599813 + 0.76857862996944*i + -0.08800713480843407*j + 0.18182155498981145*k]"
167,"[0.19272001704250127, 0.04628740774001928, 0.38439312460576874], [0.6064688689707596 + 0.7698346261143791*i + -0.086888759913937*j + 0.17888684357794493*k]"
168,"[0.1949219607420682, 0.04484978878284057, 0.3815189720883824], [0.6058553600775776 + 0.7711146828551451*i + -0.08567177278159885*j + 0.1760164080389549*k]"
169,"[0.197101512731344, 0.043408744937331684, 0.37864650356710267], [0.6052406613996353 + 0.7723824388332677*i + -0.08446242439430103*j + 0.17313350003954353*k]"
